Location,Check-in Date,Check-out Date,Hotel Name,Room Type,Price (USD)
"College Station, TX, United States",05/25/2024,05/26/2024,Aggieland Boutique Hotel,1 King Bed Standard Walk In Shower,89
"College Station, TX, United States",05/25/2024,05/26/2024,Aggieland Boutique Hotel,1 King Bed Standard Bath Shower Combo,89
"College Station, TX, United States",05/25/2024,05/26/2024,Aggieland Boutique Hotel,1 King Bed 1 Bunk Bed Kyle Field View,89
"College Station, TX, United States",05/25/2024,05/26/2024,Aggieland Boutique Hotel,2 Queen Beds Standard Bath Shower Combo,89
"College Station, TX, United States",05/25/2024,05/26/2024,Aggieland Boutique Hotel,2 Queen Beds Standard Walk In Shower,89
"College Station, TX, United States",05/25/2024,05/26/2024,Aggieland Boutique Hotel,2 Queen Beds Premium Kyle Field View,89
"College Station, TX, United States",05/25/2024,05/26/2024,Aggieland Boutique Hotel,1 King Bed And 1 Bunk Bed Premium,94
"College Station, TX, United States",05/25/2024,05/26/2024,Aggieland Boutique Hotel,Standard Room,94
"College Station, TX, United States",05/25/2024,05/26/2024,Aggieland Boutique Hotel,Premium Room,99
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: College Station,2 Queen Standard,103
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: College Station,Standard Room,103
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: College Station,2 Queen Suite Extra Floor Space Sofa Bed,112
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: College Station,1 Bedroom Suite Sofa Bed,112
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: College Station,1 King Suite Extra Floor Space Sofa Bed,122
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: College Station,1 Bedroom Suite Jetted Tub,127
"College Station, TX, United States",05/25/2024,05/26/2024,Staybridge Suites: College Station,1 Bedroom Suite 2 Queen,152
"College Station, TX, United States",05/25/2024,05/26/2024,Staybridge Suites: College Station,2 Bedroom Suite 1 King 2 Queen,327
"College Station, TX, United States",05/25/2024,05/26/2024,Staybridge Suites: College Station,STANDARD ROOM,327
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Bryan - College Station,2 Queen Standard,99
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Bryan - College Station,1 Bedroom Suite Sofa Bed,99
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Bryan - College Station,Standard Room,118
"College Station, TX, United States",05/25/2024,05/26/2024,Candlewood Suites: College Station at University,1 Queen Studio Suite Kitchen,94
"College Station, TX, United States",05/25/2024,05/26/2024,Candlewood Suites: College Station at University,2 Queen Studio Suite Kitchen,104
"College Station, TX, United States",05/25/2024,05/26/2024,Candlewood Suites: College Station at University,Studio Suite,104
"College Station, TX, United States",05/25/2024,05/26/2024,Candlewood Suites: College Station at University,1 King 1 Bdrm Ste Living Dining Kitchen,132
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn & Suites: College Station-Aggieland,1 King Standard,89
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn & Suites: College Station-Aggieland,2 Queen Standard,89
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn & Suites: College Station-Aggieland,STANDARD ROOM,89
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn & Suites: College Station-Aggieland,1 King Standard Jetted Tub,104
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn & Suites: College Station-Aggieland,2 Queen 1 Bedroom Suite,118
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn & Suites: College Station-Aggieland,1 King 1 Bedroom Suite Jetted Tub,118
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn & Suites: College Station-Aggieland,1 King 1 Bedroom Suite,118
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn & Suites: College Station-Aggieland,SUPERIOR ROOM,118
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Hearne,1 King Bed Standard,123
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Hearne,2 Queen Beds Standard,123
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Hearne,Standard Room,127
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Hearne,2 Queen Beds Standard Extra Floor Space,132
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Hearne,1 King Bed Suite Sofa Bed,132
"College Station, TX, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Hearne,2 Queen Beds Suite Sofa Bed,161
